host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
NA,NA,49.26486,-123.18136,1,2,14,4,$120.00,97,44
100%,100%,49.27828,-123.11859,2,2,30,4,$175.00,96,157
100%,100%,49.27704,-123.12217,1,1,30,2,$95.00,97,15
N/A,N/A,49.28904,-123.13452,NA,1,4,2,$120.00,93,3
95%,90%,49.28681,-123.12323,2,2,30,4,$268.00,NA,0
88%,85%,49.27804,-123.06098,2,2,30,4,$49.00,100,14
NA,NA,49.28045,-123.11172,1,1,1,2,$249.00,97,101
100%,N/A,49.26207,-123.15378,2,2,20,4,$300.00,93,9
N/A,N/A,49.27263,-123.09972,1,1,1,1,$175.00,98,31
100%,100%,49.24055,-123.09041,3,3,3,6,$185.00,91,69
100%,98%,49.27928,-123.10821,1,1,2,2,$180.00,93,178
N/A,N/A,49.2801,-123.09948,1,1,3,2,$113.00,95,56
71%,93%,49.27735,-123.12718,1,2,30,3,$72.00,97,6
100%,31%,49.26656,-123.04979,1,1,30,3,$63.00,97,36
N/A,N/A,49.2776,-123.06675,2,2,5,5,$395.00,100,6
N/A,100%,49.26848,-123.06897,1,1,2,2,$118.00,96,91
100%,88%,49.27055,-123.18922,1,1,3,2,$150.00,99,62
N/A,100%,49.26387,-123.18203,2,2,2,5,$248.00,88,46
N/A,N/A,49.2849,-123.02923,1,2,4,3,$149.00,94,13
93%,36%,49.28742,-123.12805,1,2,30,3,$90.00,100,1
100%,100%,49.2236,-123.1589,4,5,2,10,$348.00,96,91
100%,94%,49.28118,-123.12537,1,2,30,4,$229.00,99,186
N/A,N/A,49.2665,-123.14857,1,1,30,2,$157.00,100,2
N/A,N/A,49.22801,-123.19539,3,4,2,6,$270.00,95,12
100%,95%,49.26,-123.18298,1,2,1,2,$79.00,97,119
100%,100%,49.27285,-123.12343,3,3,30,6,$231.00,99,57
93%,36%,49.2905,-123.12653,1,1,30,2,$80.00,90,2
100%,89%,49.23298,-123.09754,1,1,60,1,$24.00,98,10
N/A,N/A,49.25063,-123.08306,5,7,3,10,$499.00,100,27
93%,36%,49.2891,-123.12837,NA,1,30,2,$65.00,100,3
N/A,N/A,49.26849,-123.15788,1,1,7,2,$175.00,NA,0
100%,98%,49.27029,-123.04597,2,3,2,6,$92.00,97,124
100%,100%,49.2606,-123.06207,1,2,31,2,$105.00,99,37
100%,100%,49.24831,-123.18431,2,2,30,4,$75.00,92,5
N/A,N/A,49.2484,-123.04816,2,2,3,4,$151.00,99,50
N/A,N/A,49.2569,-123.19638,1,1,30,1,$43.00,40,2
100%,100%,49.28783,-123.04268,3,3,2,5,$99.00,98,215
N/A,N/A,49.28297,-123.06153,3,3,1,7,$225.00,91,28
100%,100%,49.22333,-123.15761,2,2,2,5,$265.00,97,55
95%,100%,49.25841,-123.11305,2,2,30,4,$120.00,90,32
100%,100%,49.25895,-123.16627,3,5,4,3,$128.00,99,117
N/A,N/A,49.27751,-123.13336,3,3,3,6,$285.00,100,24
80%,14%,49.28258,-123.10833,1,1,1,2,$179.00,93,9
N/A,N/A,49.28026,-123.11845,1,1,30,2,$159.00,NA,2
80%,53%,49.24242,-123.16926,1,1,30,1,$30.00,100,2
N/A,N/A,49.27745,-123.12767,1,1,1,1,$91.00,95,158
100%,67%,49.26965,-123.15376,1,1,1,2,$34.00,91,97
100%,100%,49.28215,-123.12503,1,2,30,2,$85.00,99,18
100%,100%,49.22844,-123.09713,1,1,3,2,$75.00,96,59
100%,100%,49.2285,-123.09674,1,1,3,2,$65.00,95,49
N/A,N/A,49.28357,-123.05649,1,1,3,2,$46.00,95,60
100%,89%,49.26066,-123.11585,2,2,30,4,$250.00,99,23
NA,NA,49.25986,-123.12692,1,1,30,2,$85.00,90,8
N/A,N/A,49.23178,-123.02587,1,1,7,2,$55.00,86,10
N/A,N/A,49.27729,-123.05511,2,3,3,6,$100.00,94,24
N/A,N/A,49.23939,-123.09124,1,1,31,2,$165.00,87,3
N/A,100%,49.27765,-123.04208,2,2,2,6,$100.00,94,107
93%,36%,49.27748,-123.12211,1,1,180,2,$91.00,NA,0
N/A,100%,49.26084,-123.09042,3,3,4,7,$99.00,99,14
100%,100%,49.26144,-123.1851,1,1,3,2,$78.00,87,19
100%,100%,49.25912,-123.08006,2,2,1,4,$120.00,99,79
100%,100%,49.27449,-123.03915,1,1,5,2,$75.00,98,61
71%,93%,49.29019,-123.12516,1,2,30,3,$84.00,90,21
N/A,N/A,49.26156,-123.14305,1,1,2,2,$205.00,95,4
100%,67%,49.28548,-123.13309,2,3,4,4,$249.00,92,19
N/A,44%,49.26615,-123.16606,NA,1,1,2,$83.00,97,168
100%,67%,49.26584,-123.15036,NA,1,30,2,$70.00,100,47
71%,93%,49.2884,-123.12605,1,2,30,3,$78.00,85,22
100%,84%,49.27968,-123.11787,1,1,32,2,$151.00,95,4
100%,86%,49.23139,-123.15835,1,2,1,4,$85.00,99,116
100%,91%,49.25952,-123.07153,2,2,3,4,$115.00,93,31
100%,89%,49.26488,-123.12248,3,3,30,5,$246.00,97,34
N/A,N/A,49.26349,-123.15764,1,1,30,4,$36.00,60,3
90%,100%,49.28378,-123.11988,2,2,30,4,$198.00,94,23
90%,93%,49.28389,-123.10265,1,1,5,3,$219.00,95,118
80%,63%,49.28,-123.12305,1,1,2,3,$400.00,100,10
N/A,0%,49.25421,-123.09876,3,3,3,7,$450.00,98,9
NA,NA,49.23272,-123.13075,2,12,2,12,$200.00,83,8
100%,100%,49.28483,-123.04634,1,0,5,1,$38.00,100,5
100%,N/A,49.27818,-123.12152,1,1,31,2,$250.00,100,1
100%,100%,49.28435,-123.13874,NA,1,2,2,$102.00,98,24
N/A,N/A,49.28097,-123.06788,1,1,4,2,$41.00,98,81
71%,93%,49.29373,-123.13452,1,2,30,4,$76.00,70,2
100%,100%,49.2681,-123.06925,1,1,3,2,$89.00,87,6
100%,100%,49.24811,-123.0798,2,2,2,4,$98.00,99,24
100%,100%,49.24404,-123.10111,1,1,7,2,$105.00,99,111
100%,89%,49.23527,-123.09903,1,1,60,1,$31.00,100,5
100%,100%,49.26702,-123.16867,2,2,2,4,$200.00,91,94
90%,83%,49.28275,-123.04518,1,2,1,4,$55.00,91,195
N/A,N/A,49.2699,-123.21403,1,1,31,2,$157.00,95,15
N/A,N/A,49.25098,-123.11711,2,4,2,5,$86.00,100,6
100%,100%,49.25407,-123.09567,2,2,1,4,$143.00,96,137
N/A,N/A,49.25852,-123.10447,3,4,2,6,$400.00,100,1
N/A,N/A,49.29292,-123.13608,2,1,2,1,$157.00,95,8
NA,NA,49.27848,-123.12038,1,1,30,2,$92.00,99,14
100%,100%,49.26316,-123.04757,1,2,1,4,$100.00,99,47
100%,100%,49.22652,-123.09526,1,1,3,2,$75.00,95,57
N/A,N/A,49.23739,-123.18361,1,1,1,2,$128.00,90,9
N/A,N/A,49.25203,-123.18378,1,2,3,3,$80.00,96,21
100%,95%,49.27882,-123.11099,2,3,6,5,$335.00,97,113
N/A,N/A,49.21444,-123.10697,1,1,2,2,$98.00,99,21
100%,88%,49.27714,-123.09857,2,3,30,5,$122.00,91,35
100%,88%,49.26312,-123.048,1,1,1,1,$46.00,98,171
100%,100%,49.22338,-123.03558,NA,1,1,3,$44.00,93,45
100%,100%,49.27532,-123.05067,NA,1,7,2,$80.00,95,47
N/A,100%,49.26463,-123.16143,1,1,2,2,$100.00,100,7
67%,100%,49.24156,-123.04932,1,1,2,2,$60.00,96,93
67%,100%,49.24196,-123.04993,1,1,2,2,$55.00,97,84
N/A,N/A,49.27379,-123.06237,1,1,60,1,$33.00,90,2
92%,75%,49.24141,-123.09008,1,1,30,1,$24.00,93,3
N/A,N/A,49.26983,-123.213,2,2,31,4,$160.00,96,20
N/A,N/A,49.26776,-123.21419,1,1,31,2,$140.00,94,18
N/A,N/A,49.28152,-123.11645,1,1,30,2,$170.00,100,1
N/A,N/A,49.25155,-123.0623,2,2,3,4,$238.00,100,1
N/A,N/A,49.28185,-123.10007,1,1,3,2,$90.00,94,7
N/A,N/A,49.26571,-123.13241,1,1,1,1,$96.00,95,23
N/A,N/A,49.27387,-123.05153,1,1,185,1,$68.00,NA,0
N/A,N/A,49.23128,-123.14061,1,1,3,2,$30.00,80,1
100%,96%,49.2833,-123.12769,1,1,2,2,$65.00,87,200
100%,0%,49.2802,-123.06112,1,0,2,4,$200.00,97,21
100%,100%,49.25915,-123.14504,1,1,1,2,$283.00,100,2
100%,100%,49.27032,-123.147,2,2,30,4,$206.00,95,4
N/A,100%,49.28043,-123.10564,1,1,30,2,$120.00,99,127
N/A,N/A,49.28531,-123.11826,1,2,1,2,$200.00,91,21
N/A,N/A,49.25147,-123.16079,4,4,3,10,$389.00,99,18
N/A,N/A,49.27668,-123.06058,1,1,1,1,$46.00,NA,1
100%,86%,49.28261,-123.1029,1,1,7,4,$300.00,98,48
N/A,N/A,49.26769,-123.16714,2,2,3,4,$190.00,92,13
100%,100%,49.26697,-123.04348,2,3,3,4,$107.00,98,247
96%,100%,49.24871,-123.05501,1,1,1,2,$46.00,95,354
100%,91%,49.22267,-123.03604,1,1,3,2,$65.00,92,5
50%,82%,49.280029999999996,-123.12294,1,1,1,4,$135.00,81,19
N/A,N/A,49.284,-123.1336,1,1,30,2,"$2,100.00",100,11
100%,N/A,49.27636,-123.11982,1,1,30,2,$55.00,93,26
N/A,N/A,49.28522,-123.13511,1,1,2,2,$150.00,100,5
N/A,N/A,49.21424,-123.11441,1,1,3,2,$49.00,93,40
N/A,N/A,49.2127,-123.11602,1,1,3,2,$55.00,98,51
N/A,N/A,49.22845,-123.11504,1,2,360,2,$70.00,96,186
100%,0%,49.26267,-123.08365,1,0,70,1,$99.00,85,5
83%,60%,49.28264,-123.11427,5,6,2,5,$980.00,93,21
100%,100%,49.27957,-123.13028,1,2,30,3,$70.00,96,47
N/A,N/A,49.28264,-123.11427,1,1,1,2,$100.00,92,37
N/A,100%,49.26451,-123.10783,1,1,30,2,$299.00,95,97
N/A,N/A,49.28264,-123.11427,1,2,1,2,$92.00,91,21
84%,55%,49.24551,-123.08933,2,2,2,4,$69.00,95,113
100%,95%,49.27929,-123.10709,1,1,1,2,$66.00,98,275
100%,100%,49.24188,-123.05401,1,1,2,2,$71.00,95,159
100%,100%,49.26985,-123.06766,1,1,1,2,$75.00,98,76
100%,100%,49.26038,-123.07115,1,1,4,2,$80.00,98,43
100%,100%,49.25959,-123.18791,1,1,3,2,$99.00,96,29
N/A,N/A,49.26616,-123.09891,2,2,30,4,$200.00,100,2
100%,95%,49.26777,-123.03869,1,2,1,4,$89.00,96,119
N/A,N/A,49.22671,-123.11416,1,1,360,2,$60.00,96,132
100%,N/A,49.27788,-123.12107,1,1,60,2,$92.00,100,1
N/A,100%,49.2271,-123.05468,1,1,2,2,$98.00,94,32
100%,83%,49.23973,-123.16704,2,3,2,4,$169.00,91,80
N/A,N/A,49.27568,-123.06916,3,3,3,6,$206.00,99,117
100%,88%,49.26073,-123.1072,2,3,31,4,$150.00,100,9
100%,100%,49.28111,-123.05747,1,1,30,2,$70.00,100,85
100%,100%,49.27897,-123.12625,1,1,31,2,$80.00,100,9
100%,89%,49.26339,-123.12186,3,3,30,5,$304.00,98,26
N/A,N/A,49.26564,-123.10106,1,1,30,2,$125.00,96,15
100%,97%,49.2792,-123.09849,2,2,2,4,$225.00,94,16
N/A,N/A,49.2728,-123.07355,1,1,2,4,$125.00,95,52
100%,100%,49.28002,-123.11053,2,2,30,4,$109.00,93,4
100%,100%,49.24788,-123.08138,1,1,1,2,$100.00,94,87
83%,60%,49.28264,-123.11427,1,1,1,2,$92.00,90,48
0%,14%,49.27215,-123.17969,1,2,1,2,$60.00,97,167
N/A,N/A,49.26431,-123.12104,1,1,5,2,$95.00,95,8
100%,100%,49.27609,-123.12527,1,1,30,2,$135.00,100,8
NA,NA,49.26027,-123.1263,1,1,30,2,$85.00,87,9
N/A,0%,49.23654,-123.10156,1,1,1,2,$117.00,94,7
N/A,N/A,49.28402,-123.11612,2,3,90,6,$150.00,100,1
N/A,N/A,49.25089,-123.09095,2,2,2,4,$223.00,100,9
91%,94%,49.27524,-123.13415,2,2,30,4,$196.00,92,43
100%,89%,49.28149,-123.09971,2,2,30,3,$106.00,97,34
N/A,100%,49.27811,-123.13095,NA,1,30,2,$100.00,100,4
N/A,N/A,49.27461,-123.13082,1,1,90,2,$160.00,NA,0
100%,96%,49.2833,-123.12769,1,1,2,2,$148.00,92,101
NA,NA,49.26024,-123.12837,1,1,30,2,$100.00,88,10
90%,100%,49.22985,-123.04255,NA,0,2,1,$50.00,96,66
N/A,N/A,49.26968,-123.06175,3,4,3,6,$259.00,93,3
N/A,N/A,49.27713,-123.13408,1,1,2,2,$89.00,95,18
100%,91%,49.28186,-123.10567,1,1,30,2,$100.00,95,169
100%,100%,49.26489,-123.15048,1,1,2,2,$165.00,98,160
100%,100%,49.28744,-123.12688,2,3,30,4,$275.00,96,51
100%,94%,49.23138,-123.10445,1,1,2,2,$99.00,100,147
100%,67%,49.25331,-123.11395,2,2,30,4,$120.00,100,54
N/A,N/A,49.24988,-123.1038,1,1,30,2,$125.00,60,1
67%,100%,49.23965,-123.04831,1,1,2,2,$50.00,98,47
100%,100%,49.2326,-123.08251,2,3,30,3,$89.00,100,9
N/A,100%,49.23937,-123.04057,1,1,28,3,$80.00,99,111
N/A,N/A,49.28329,-123.09708,1,2,31,2,$145.00,100,7
N/A,0%,49.26099,-123.17281,1,1,2,2,$150.00,98,81
100%,96%,49.27906,-123.1088,2,3,30,6,$255.00,98,119
100%,98%,49.27968,-123.12604,2,2,2,4,$45.00,NA,0
N/A,100%,49.2466,-123.13585,2,3,2,5,$198.00,98,34
93%,87%,49.27969,-123.12319,1,1,30,4,$84.00,80,1
50%,50%,49.26993,-123.16528,2,3,7,5,$217.00,97,96
N/A,0%,49.2935,-123.13451,1,1,2,3,$200.00,95,91
91%,94%,49.27297,-123.12575,3,3,30,6,$275.00,100,2
N/A,N/A,49.24711,-123.1417,4,4,2,8,$320.00,95,36
100%,100%,49.26635,-123.16716,4,4,5,8,$808.00,99,17
NA,NA,49.25976,-123.12793,2,2,30,4,$110.00,98,11
100%,85%,49.27836,-123.12485,1,3,2,4,$151.00,100,51
100%,71%,49.26845,-123.09534,1,1,30,2,$225.00,NA,0
100%,88%,49.27817,-123.10875,2,2,2,4,$178.00,99,148
90%,81%,49.27754,-123.11257,2,1,30,2,$150.00,100,1
100%,100%,49.28407,-123.12277,1,2,1,3,$224.00,97,229
N/A,N/A,49.26985,-123.15506,2,4,2,6,$549.00,96,111
80%,N/A,49.28,-123.09918,2,2,30,4,$206.00,100,1
100%,96%,49.24513,-123.10495,2,5,3,4,$171.00,99,107
N/A,100%,49.287,-123.13204,1,1,3,2,$100.00,96,81
80%,N/A,49.27376,-123.1284,2,2,31,2,$164.00,NA,0
100%,98%,49.28254,-123.06454,1,1,2,4,$70.00,94,209
100%,85%,49.28212,-123.12293,2,2,30,3,$140.00,100,17
N/A,N/A,49.29212,-123.13438,1,2,30,3,$79.00,88,14
100%,100%,49.22584,-123.13769,1,2,2,2,$139.00,94,64
100%,100%,49.28412,-123.12396,2,2,2,3,$119.00,90,116
N/A,N/A,49.27976,-123.11119,1,1,30,2,$170.00,93,3
100%,91%,49.28157,-123.02788,1,1,3,2,$45.00,96,64
100%,N/A,49.28603,-123.12555,1,2,30,4,$94.00,100,1
100%,100%,49.25446,-123.08276,1,2,2,4,$51.00,91,161
100%,50%,49.28009,-123.1078,3,3,7,5,$380.00,97,53
100%,100%,49.28124,-123.1093,2,2,2,6,$109.00,97,224
N/A,N/A,49.24122,-123.09628,3,3,30,5,$95.00,NA,0
N/A,N/A,49.28724,-123.05085,1,1,2,2,$40.00,99,67
NA,NA,49.24734,-123.11623,4,8,3,16,"$1,576.00",100,2
100%,100%,49.27711,-123.09218,2,3,14,4,$75.00,95,238
N/A,N/A,49.25503,-123.08026,2,4,7,6,$200.00,98,13
100%,100%,49.27895,-123.12206,1,1,5,2,$148.00,95,112
89%,91%,49.25518,-123.19295,4,5,30,8,$542.00,100,6
100%,100%,49.25228,-123.08584,1,1,2,2,$99.00,99,69
83%,97%,49.26978,-123.09867,1,1,30,4,$69.00,100,17
100%,83%,49.27991,-123.10717,2,3,2,5,$264.00,99,36
100%,95%,49.2599,-123.18294,1,1,1,2,$99.00,99,151
N/A,N/A,49.25683,-123.06639,1,1,1,2,$27.00,NA,0
100%,100%,49.26434,-123.13303,1,1,2,2,$199.00,95,129
100%,N/A,49.23744,-123.16207,1,1,30,1,$49.00,NA,0
100%,100%,49.27305,-123.06801,2,2,3,4,$120.00,95,139
N/A,0%,49.27743,-123.03525,1,2,5,2,$45.00,85,8
N/A,N/A,49.28731,-123.04954,1,2,2,3,$100.00,90,3
N/A,100%,49.28147,-123.10308,1,1,3,2,$150.00,98,18
100%,100%,49.26933,-123.18303,2,2,3,4,$220.00,96,28
100%,97%,49.23638,-123.10714,2,3,1,5,$135.00,96,207
100%,98%,49.27411,-123.04884,1,2,3,4,$63.00,96,221
N/A,N/A,49.27665,-123.11686,1,1,30,2,$90.00,NA,1
N/A,N/A,49.25487,-123.07811,1,1,1,2,$110.00,99,24
100%,N/A,49.26624,-123.15056,1,1,150,2,$65.00,100,4
100%,N/A,49.27833,-123.12059000000001,1,1,90,4,$112.00,100,1
90%,94%,49.27991,-123.12494,1,2,3,4,$148.00,92,176
90%,87%,49.28034,-123.12509,1,3,3,4,$108.00,93,180
100%,100%,49.27167,-123.07644,1,1,30,2,$63.00,NA,0
100%,78%,49.21103,-123.11774,1,1,1,3,$64.00,82,9
NA,NA,49.22366,-123.14858,1,1,30,2,$62.00,100,7
20%,100%,49.28621,-123.13566,1,1,30,4,$104.00,95,17
NA,NA,49.26177,-123.12674,1,1,30,2,$80.00,95,11
0%,N/A,49.22177,-123.09928,1,1,30,1,$30.00,NA,0
100%,57%,49.28939,-123.12581,2,2,90,3,$148.00,100,10
N/A,0%,49.28133,-123.0634,1,1,31,2,$69.00,98,42
100%,100%,49.2499,-123.12433,1,1,2,2,$79.00,97,66
N/A,N/A,49.27559,-123.12718,1,1,30,2,$159.00,99,21
100%,50%,49.27951,-123.12739,1,3,3,4,$300.00,96,68
NA,NA,49.25985,-123.12696,2,2,30,4,$105.00,89,7
NA,NA,49.26045,-123.12819,1,1,30,1,$82.00,91,9
N/A,N/A,49.25337,-123.10795,3,7,3,8,$350.00,NA,0
100%,97%,49.29108,-123.04144,4,4,2,8,$133.00,99,142
N/A,N/A,49.27735,-123.0925,1,2,7,2,$48.00,93,15
100%,94%,49.25459,-123.04589,1,2,3,2,$72.00,95,151
90%,98%,49.27853,-123.10677,2,3,2,3,$99.00,90,193
100%,91%,49.281,-123.12565,1,1,31,2,$53.00,99,14
NA,NA,49.26163,-123.12813,1,1,30,2,$95.00,93,8
100%,33%,49.25501,-123.0714,2,2,2,4,$95.00,100,11
100%,98%,49.27823,-123.08676,2,2,2,6,$89.00,97,292
N/A,N/A,49.2694,-123.03996,1,1,30,1,$80.00,100,1
N/A,N/A,49.28815,-123.13616,1,1,5,2,$175.00,94,20
N/A,N/A,49.26553,-123.12651,3,4,2,6,$350.00,100,2
100%,100%,49.26594,-123.19387,4,4,6,5,$975.00,100,6
93%,36%,49.27974,-123.13576,1,1,30,2,$71.00,90,4
100%,100%,49.25537,-123.19077,3,2,1,2,$108.00,20,1
100%,97%,49.25489,-123.18217,1,3,1,4,$78.00,95,43
100%,65%,49.28224,-123.12421,1,1,30,2,$99.00,100,9
N/A,N/A,49.26653,-123.12441,1,1,3,4,$149.00,93,111
N/A,N/A,49.27911,-123.11714,1,1,3,2,$199.00,NA,0
100%,97%,49.29075,-123.04071,2,2,2,4,$113.00,99,21
N/A,N/A,49.26578,-123.09339,1,1,2,2,$100.00,98,47
N/A,100%,49.25133,-123.06182,3,5,10,6,$320.00,100,7
N/A,N/A,49.23591,-123.07813,2,4,2,4,$80.00,82,36
100%,92%,49.27913,-123.1187,1,1,30,2,$79.00,97,8
100%,68%,49.25826,-123.07133,1,1,30,1,$40.00,100,13
NA,NA,49.26182,-123.12821,1,1,30,2,$85.00,91,11
NA,NA,49.26146,-123.12623,1,1,30,2,$85.00,82,9
100%,60%,49.277589999999996,-123.08576,1,1,3,2,$75.00,100,98
100%,100%,49.26226,-123.20874,NA,1,3,2,$99.00,97,80
N/A,N/A,49.24757,-123.10317,2,2,365,2,$85.00,NA,0
73%,100%,49.28427,-123.12747,2,3,30,4,$85.00,NA,0
73%,100%,49.27774,-123.12774,1,2,30,4,$80.00,NA,0
N/A,N/A,49.26175,-123.08837,3,3,2,5,$198.00,100,10
N/A,N/A,49.2839,-123.04736,2,3,3,5,$180.00,100,5
100%,91%,49.22791,-123.03074,1,2,1,3,$37.00,89,58
100%,91%,49.22802,-123.03224,1,4,1,3,$45.00,91,67
100%,100%,49.2531,-123.08731,2,2,4,4,$94.00,98,74
100%,100%,49.26172,-123.13058,1,1,2,2,$82.00,96,107
100%,91%,49.22818,-123.03276,1,1,1,2,$25.00,95,118
N/A,100%,49.27265,-123.10265,1,1,2,2,$99.00,99,113
100%,67%,49.26216,-123.09894,1,1,30,2,$88.00,88,109
100%,100%,49.28086,-123.02707,2,2,2,4,$120.00,99,27
88%,50%,49.2786,-123.02855,2,2,2,4,$150.00,96,22
N/A,N/A,49.27748,-123.09149,4,4,3,7,$250.00,86,84
N/A,N/A,49.27189,-123.12569,2,4,3,4,$399.00,91,45
100%,97%,49.24684,-123.08154,NA,1,3,2,$69.00,98,92
N/A,N/A,49.27714,-123.09881,1,1,10,2,$164.00,100,12
100%,100%,49.25566,-123.09335,2,2,2,4,$130.00,100,185
NA,NA,49.26017,-123.12838,2,2,30,4,$105.00,88,5
100%,94%,49.22451,-123.0597,1,3,1,4,$65.00,95,108
NA,NA,49.26204,-123.12803,1,1,30,2,$85.00,100,4
N/A,N/A,49.26923,-123.16446,2,3,3,6,$109.00,93,58
100%,95%,49.27401,-123.14656,2,2,2,4,$150.00,99,162
N/A,N/A,49.23094,-123.13746,1,2,30,2,$60.00,84,52
92%,100%,49.27936,-123.10649,3,4,2,6,$338.00,96,108
100%,98%,49.27899,-123.12323,1,1,3,4,$109.00,95,233
N/A,90%,49.28021,-123.12512,1,3,80,4,$80.00,95,209
N/A,N/A,49.27646,-123.04581,3,4,7,5,$150.00,100,2
100%,91%,49.20875,-123.11862,3,3,2,6,$175.00,92,78
100%,25%,49.25962,-123.18928,2,2,30,4,$175.00,96,30
N/A,100%,49.25403,-123.11908,NA,1,2,2,$100.00,98,41
N/A,N/A,49.25229,-123.0525,1,1,3,1,$30.00,93,20
N/A,N/A,49.24287,-123.1536,4,8,3,8,$200.00,93,4
60%,0%,49.26517,-123.11037,4,4,2,8,$280.00,92,23
N/A,N/A,49.25162,-123.05272,1,1,3,1,$30.00,95,14
100%,85%,49.27906,-123.12552,1,3,2,6,$159.00,98,90
100%,N/A,49.26604,-123.16952,1,1,2,1,$80.00,91,64
100%,100%,49.24853,-123.13645,2,3,2,5,$198.00,99,21
N/A,N/A,49.26965,-123.18132,3,4,6,6,$475.00,100,1
90%,100%,49.27962,-123.12405,1,2,2,4,$112.00,100,113
100%,90%,49.2316,-123.0628,4,4,2,8,$113.00,95,100
N/A,100%,49.28572,-123.13395,1,1,30,2,$65.00,95,69
100%,100%,49.27446,-123.15086,3,3,4,6,$800.00,100,55
NA,NA,49.26001,-123.12607,1,1,30,2,$85.00,92,10
100%,100%,49.2795,-123.11943,2,2,1,4,$191.00,92,138
N/A,N/A,49.26614,-123.16014,1,1,30,1,$99.00,NA,0
N/A,N/A,49.24697,-123.09389,3,3,2,5,$225.00,92,10
99%,85%,49.27433,-123.1261,NA,2,31,4,$199.00,100,2
N/A,N/A,49.21007,-123.12755,1,1,1,3,$74.00,97,141
N/A,N/A,49.2827,-123.13875,1,1,2,2,$100.00,97,15
100%,0%,49.2331,-123.09868,1,1,1,2,$79.00,98,133
75%,86%,49.28573,-123.12514,2,2,30,4,$175.00,98,40
100%,99%,49.27732,-123.12063,2,2,90,4,$145.00,100,9
18%,71%,49.26388,-123.17844,1,1,1,2,$75.00,99,18
100%,100%,49.24639,-123.10578,1,2,30,4,$90.00,100,3
N/A,N/A,49.26288,-123.06293,2,2,5,5,$200.00,93,25
N/A,N/A,49.27195,-123.10343,2,3,30,6,$139.00,90,76
N/A,N/A,49.27173,-123.06634,1,1,30,3,$75.00,100,1
N/A,N/A,49.23471,-123.10001,3,4,2,3,$169.00,94,16
100%,94%,49.28171,-123.10184,1,1,3,2,$168.00,98,63
100%,100%,49.26878,-123.10078,1,1,1,2,$350.00,100,52
NA,NA,49.27919,-123.06538,1,1,30,1,$45.00,NA,0
92%,87%,49.28081,-123.12517,1,3,1,4,$112.00,93,207
N/A,N/A,49.26895,-123.1083,1,1,3,2,$81.00,93,27
N/A,N/A,49.24178,-123.17688,2,2,1,4,$95.00,93,51
100%,98%,49.28836,-123.12491,1,1,1,2,$115.00,95,119
N/A,100%,49.26558,-123.12842,2,2,7,3,$288.00,100,7
NA,NA,49.25985,-123.12793,1,1,30,2,$85.00,89,8
NA,NA,49.26146,-123.12646,2,2,30,4,$100.00,92,5
100%,99%,49.23871,-123.1462,1,2,1,3,$77.00,99,157
100%,99%,49.27985,-123.08039,2,2,2,4,$185.00,97,82
100%,N/A,49.25407,-123.09863,3,3,29,3,$162.00,100,2
100%,100%,49.24922,-123.10643,2,2,7,3,$145.00,100,21
N/A,N/A,49.28082,-123.10843,1,2,2,4,$150.00,98,48
100%,0%,49.27341,-123.09975,2,3,3,6,$175.00,97,14
N/A,100%,49.28642,-123.1341,1,1,30,2,$60.00,94,54
100%,0%,49.27071,-123.06682,4,4,3,6,$350.00,92,5
99%,85%,49.27291,-123.12668,1,2,31,4,$250.00,90,2
N/A,N/A,49.28465,-123.14188,1,2,4,4,$189.00,97,16
99%,85%,49.27474,-123.12806,1,2,31,4,$220.00,100,1
N/A,N/A,49.2336,-123.10971,1,1,2,1,$37.00,93,8
N/A,N/A,49.26179,-123.08255,1,1,30,1,$100.00,100,1
N/A,N/A,49.27915,-123.10793,2,3,90,6,$299.00,94,10
99%,85%,49.27502,-123.12715,1,2,30,4,$220.00,100,2
99%,85%,49.27468,-123.12618,1,2,31,4,$250.00,NA,0
99%,85%,49.27306,-123.12811,1,2,30,4,$250.00,100,1
99%,85%,49.27452,-123.12623,2,3,31,6,$300.00,NA,0
97%,85%,49.27539,-123.13316,1,1,3,2,$130.00,95,69
100%,94%,49.2758,-123.13045,1,1,30,2,$125.00,98,23
80%,94%,49.27977,-123.10905,3,3,30,6,$431.00,96,129
75%,25%,49.27574,-123.03745,4,4,4,6,$399.00,98,26
N/A,N/A,49.22509,-123.03591,2,2,1,4,$100.00,94,112
100%,84%,49.28144,-123.11662,1,1,30,2,$151.00,100,2
100%,84%,49.27948,-123.11654,1,1,30,2,$151.00,NA,0
N/A,N/A,49.2791,-123.11773,1,1,30,2,$60.00,98,47
0%,N/A,49.28861,-123.12496,1,0,180,2,$75.00,NA,0
100%,100%,49.2443,-123.0616,3,3,3,8,$209.00,96,104
100%,65%,49.27925,-123.08842,NA,1,90,1,$59.00,100,10
100%,100%,49.27024,-123.10181,1,2,30,4,$119.00,96,42
N/A,N/A,49.28389,-123.11562,1,1,30,2,$140.00,NA,0
0%,20%,49.2833,-123.10495,1,1,30,2,$107.00,98,24
100%,90%,49.2324,-123.15844,2,2,3,3,$150.00,96,28
N/A,N/A,49.23498,-123.09053,1,0,1,2,$40.00,100,2
100%,89%,49.26358,-123.12271,3,3,30,5,$175.00,100,10
N/A,N/A,49.27536,-123.12655,1,1,1,2,$101.00,87,111
